text,author,tags,born_date,born_location,image_urls,images
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"books,library","August 24, 1899","in Buenos Aires, Argentina",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Jorge_Luis_Borges.jpg/1280px-Jorge_Luis_Borges.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Jorge_Luis_Borges.jpg/1280px-Jorge_Luis_Borges.jpg', 'path': 'full/ef5af1831ac0d904d865868c96286c2e563916a0.jpg', 'checksum': '69c85031378be43f751eb405236e74f6', 'status': 'downloaded'}]"
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"misattributed-to-mother-teresa,paraphrased","August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mother_Teresa_1.jpg/1280px-Mother_Teresa_1.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mother_Teresa_1.jpg/1280px-Mother_Teresa_1.jpg', 'path': 'full/39a39dbbe191b4c895a0428480dc04c29afe7c65.jpg', 'checksum': 'd06c37e01ec8b02673dba0707ac49e1a', 'status': 'downloaded'}]"
"“If you judge people, you have no time to love them.”",Mother Teresa,attributed-no-source,"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mother_Teresa_1.jpg/1280px-Mother_Teresa_1.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mother_Teresa_1.jpg/1280px-Mother_Teresa_1.jpg', 'path': 'full/39a39dbbe191b4c895a0428480dc04c29afe7c65.jpg', 'checksum': 'd06c37e01ec8b02673dba0707ac49e1a', 'status': 'downloaded'}]"
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,humor,"September 24, 1936","in Greenville, Mississippi, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/NHS_Jim_Henson_Display_%28cropped%29.jpg/1280px-NHS_Jim_Henson_Display_%28cropped%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/NHS_Jim_Henson_Display_%28cropped%29.jpg/1280px-NHS_Jim_Henson_Display_%28cropped%29.jpg', 'path': 'full/868aff678483dac8467a713fa1326d96a2fcecd3.jpg', 'checksum': '07ce757470abe38dc4cc72dcbe492ee7', 'status': 'downloaded'}]"
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness,"May 25, 1803","in Boston, Massachusetts, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ralph_Waldo_Emerson_ca1857_retouched.jpg/1280px-Ralph_Waldo_Emerson_ca1857_retouched.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ralph_Waldo_Emerson_ca1857_retouched.jpg/1280px-Ralph_Waldo_Emerson_ca1857_retouched.jpg', 'path': 'full/78a2a1fdfa184c2ba291f6601dca9b3c90974eec.jpg', 'checksum': 'ded7cd8a132dac8a099231676ee1abc2', 'status': 'downloaded'}]"
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"humor,religion","August 07, 1942","in Anoka, Minnesota, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/GKpress.jpg/1280px-GKpress.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/GKpress.jpg/1280px-GKpress.jpg', 'path': 'full/f9b7e8347203f9d65b59b03add415bf15c0ef958.jpg', 'checksum': '0cd9dba5b3fe3e0d0ad4b048d7bdf675', 'status': 'downloaded'}]"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"love,poetry","July 12, 1904","in Parral, Chile",https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Pablo_Neruda_1963.jpg/1280px-Pablo_Neruda_1963.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Pablo_Neruda_1963.jpg/1280px-Pablo_Neruda_1963.jpg', 'path': 'full/72bed51fd472f252b14035c7cb8955df75a43559.jpg', 'checksum': '98004eea353fdc8537803fd25f0cc6a9', 'status': 'downloaded'}]"
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,friendship,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bob-Marley.jpg/1280px-Bob-Marley.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bob-Marley.jpg/1280px-Bob-Marley.jpg', 'path': 'full/b3b6ae427791b3d6306e28f37221ddf42a4fd313.jpg', 'checksum': '4f75a2ba4581fc752372a2adb7d20e6e', 'status': 'downloaded'}]"
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,dumbledore,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg', 'path': 'full/67931e69367794fed5aba6adfce69cc8c6a2792b.jpg', 'checksum': 'ed591c7b7e9bf1d935519a56a252a23c', 'status': 'downloaded'}]"
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"girls,love","June 01, 1926",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg', 'path': 'full/a5dbd7a02894fea219a7d97d143130925fa63df0.jpg', 'checksum': '22b4c9e294b1e74d03ab6932ca2e93d2', 'status': 'downloaded'}]"
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,love,"June 01, 1926",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg', 'path': 'full/a5dbd7a02894fea219a7d97d143130925fa63df0.jpg', 'checksum': '22b4c9e294b1e74d03ab6932ca2e93d2', 'status': 'downloaded'}]"
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,,"June 01, 1926",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg', 'path': 'full/a5dbd7a02894fea219a7d97d143130925fa63df0.jpg', 'checksum': '22b4c9e294b1e74d03ab6932ca2e93d2', 'status': 'downloaded'}]"
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,dumbledore,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg', 'path': 'full/67931e69367794fed5aba6adfce69cc8c6a2792b.jpg', 'checksum': 'ed591c7b7e9bf1d935519a56a252a23c', 'status': 'downloaded'}]"
